NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
152,3/3/22,14:48:17,35.3816,46.2036,15,2.2,Zelke -  Kurdistan - Iran
153,4/3/22,1:37:15,34.7765,46.2545,15,2.6,Kermanshah - Iran
154,5/3/22,0:30:54,36.5733,44.8864,15,2.6,Galala - Choman - Soran
155,5/3/22,0:38:44,36.6411,44.9538,15,2.3,Draband -  Choman - Soran
156,5/3/22,5:33:38,35.2529,46.5326,15,3.6,Negel - Kurdistan - Iran
157,6/3/22,1:20:41,34.5716,45.9033,13,2.3,Kermanshah - Iran
158,6/3/22,18:00:03,33.5976,46.394,11.7,3.1,Ilam -  Iran
159,7/3/22,3:37:48,35.2727,46.4116,5,2.4,Mariwan - Iran
160,7/3/22,16:54:31,36.1756,44.9927,11.7,2.2,Dokan  - Sulaymaniyah
161,7/3/22,16:58:25,34.5005,46.0161,6,2.5,Kermanshah - Iran
162,8/3/22,1:02:01,35.2963,46.5489,15,3,Negel - Kurdistan - Iran
163,8/3/22,2:48:38,34.7788,47.9249,15,2.8,Kermanshah - Iran
164,9/3/22,1:18:41,34.1526,45.4051,15,2.6,Kani Masi - Khanaqin - Garmian
165,9/3/22,7:52:46,34.6931,46.3597,15,2.7,Kermanshah - Iran
166,9/3/22,7:56:17,34.6759,46.3645,15,3.2,Kermanshah - Iran
167,9/3/22,8:51:00,34.6743,46.3838,15,2.7,Kermanshah - Iran
168,9/3/22,21:53:00,34.4754,44.5832,15,2.3,Anjana - Kifri 
169,9/3/22,22:35:33,35.6023,45.0505,15,2,Tainal - Sulaymaniyah
170,10/3/22,0:20:34,35.1967,46.5771,11.9,2.5,Hersîn - Kurdistan - Iran
171,11/3/22,0:03:23,35.6169,45.0678,5,1.9,Tainal - Sulaymaniyah
172,11/3/22,4:21:22,34.3083,47.8736,15,3.1,Lorestan - Iran
173,11/3/22,8:17:29,33.0355,46.7013,15,3.5,Ilam -  Iran
174,12/3/22,1:57:33,34.6832,45.3437,15,2.7,Goban - Kalar - Garmian
175,12/3/22,2:02:40,34.6795,45.3358,5.8,3,Goban - Kalar - Garmian
176,12/3/22,2:08:10,34.6804,45.3437,5,2.3,Goban - Kalar - Garmian
177,12/3/22,2:49:07,34.5325,45.8833,11.9,2.9,Kermanshah - Iran
178,12/3/22,3:05:42,34.6826,45.6826,5,2.5,Chahar Qal'ah - Khanaqin - Garmian
179,12/3/22,14:03:25,34.0372,46.5272,5,2.7,Kermanshah - Iran
180,12/3/22,22:56:18,35.6369,45.5252,6,2.2,Sitak  - Sulaymaniyah
181,12/3/22,23:23:27,34.7433,46.823,13,2.4,Kermanshah - Iran
182,13-03-2022,4:57:33,34.8009,46.8545,13,2.6,Alk - Iran -  Kurdistan 
183,13-03-2022,5:04:26,34.5908,45.4387,13,3.8,Sangar-i Zhuru - Khanaqin - Garmian
184,13-03-2022,5:42:29,34.6652,45.3704,13,2.1,Goban - Kalar - Garmian
185,13-03-2022,6:21:09,34.6696,45.3676,13,2.4,Goban - Kalar - Garmian
186,13-03-2022,14:39:35,34.5341,45.8771,13,2.9,Kermanshah - Iran
187,13-03-2022,15:52:55,34.6486,45.3834,13,2.4,Sirwan River - Kalar - Garmian
188,13-03-2022,23:13:33,34.6206,45.4004,13,3,Sangar-i Zhuru - Khanaqin - Garmian
189,14-03-2022,0:14:29,34.6693,45.3672,13,2.3,Goban - Kalar - Garmian
190,15-03-2022,0:09:56,34.6742,45.3484,13,2.1,Goban - Kalar - Garmian
191,15-03-2022,15:27:13,34.3335,45.1225,10,3.3,Jalawla - Khanaqin - Garmian
192,15-03-2022,0:09:56,34.6742,45.3484,13,2.1,Goban - Kalar - Garmian
193,15-03-2022,15:27:13,34.3335,45.1225,10,3.3,Jalawla - Khanaqin - Garmian
194,15-03-2022,17:17:15,34.6717,45.3587,13.8,2.2,Kalar - Garmian
195,15-03-2022,17:24:46,34.6775,45.3504,14.3,2.2,Kalar - Garmian
196,15-03-2022,18:15:56,34.6694,45.3593,13,2.2,Kalar - Garmian
197,15-03-2022,18:25:02,34.6881,45.3074,11.9,3.2,Kalar - Garmian
198,16-03-2022,1:32:42,34.2053,45.3363,11.8,2.4,Kalar - Garmian
199,16-03-2022,6:41:22,34.6935,45.3004,15,2.1,Kalar - Garmian
200,16-03-2022,15:48:01,34.6585,45.3681,11.9,2,Kalar - Garmian
201,17-03-2022,7:46:46,36.4433,44.7224,15,2.4,Soran - Hawler
